Depth (ft),Weight on bit (k-lbs),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),ROP (ft/hr)
91.39,0.76,29.33,8.97,62.07,1102.06,450.72
97.75,2.13,27.96,8.97,56.05,1103.28,348.28
114.5,2.82,27.27,8.82,97.45,1066.39,368.77
117.63,0.61,29.48,8.82,89.82,1073.92,348.28
286.71,6.08,74.32,11.22,0,1037.12,58.22
287.72,3.64,76.76,11.26,0,1039.55,231.99
288.75,4.25,76.15,11.26,0,1041.18,128.23
289.81,7.3,73.1,11.3,0,1042.4,112.68
290.94,8.6,71.8,11.34,0,1041.59,312.05
291.97,32.39,48.01,11.34,0,1042.4,116.21
292.97,9.13,71.27,11.37,0,1045.04,144.23
293.98,8.98,71.42,11.41,0,1043.42,200.33
295.07,12.56,67.84,11.41,0,1044.43,260.58
296.23,37.35,43.05,11.41,0,1050.12,132.23
297.23,15,65.4,11.45,0,1049.11,81.95
298.36,27.28,53.12,11.41,0,1048.9,139.87
299.42,17.6,62.8,11.41,0,1045.45,255.42
300.58,31.63,48.77,11.41,0,1047.28,143.77
301.61,6.69,73.71,11.45,0,1044.23,100.5
302.62,8.14,72.26,11.45,0,1046.26,75.13
303.65,31.25,49.15,11.53,0,1044.43,90.63
304.65,13.18,67.23,11.56,0,1043.62,92.46
305.75,23.39,57.01,11.68,0,1046.67,93.91
306.75,27.28,53.12,11.75,0,1044.23,116.31
307.84,35.74,44.66,11.75,0,1048.3,133.81
308.91,23.54,56.86,11.75,0,1047.07,109.47
309.94,10.35,70.05,11.72,0,1044.23,115.9
311.07,9.21,71.19,11.72,0,1046.26,256.66
312.1,5.93,74.47,11.75,0,1045.86,109.37
313.13,6.92,73.48,11.72,0,1040.36,309.87
314.2,4.02,76.38,11.72,0,1042.4,201.65
315.2,20.88,59.52,11.75,0,1042.2,400.65
316.29,10.58,69.82,11.75,0,1043.01,262.93
317.45,13.63,66.77,11.79,0,1045.04,208.45
318.45,15.84,64.56,11.83,0,1044.43,106.06
319.49,11.8,68.6,11.98,0,1044.64,81.23
323.36,23.01,57.39,12.14,0,1040.57,93.82
324.36,32.85,47.55,12.21,0,1038.74,111.89
325.39,24.54,55.86,12.25,0,1039.14,52.71
326.44,22.32,58.08,12.36,0,1038.73,78.11
327.51,19.12,61.28,12.36,0,1044.03,124.84
327.92,13.02,67.38,14.39,0,1010.67,125.99
329,8.68,71.72,14.69,0,1013.11,69.09
330.07,2.5,77.9,14.84,0,1011.68,258
331.1,19.81,60.59,14.99,0,1015.75,205
332.1,2.58,77.82,15.26,0,1016.77,70.36
333.1,4.02,76.38,15.57,0,1014.53,73.45
334.12,11.65,68.75,15.53,0,1010.26,246.01
335.15,4.18,76.22,15.61,0,1010.47,147.59
336.27,11.57,68.83,15.53,0,1009.45,159.23
337.4,11.8,68.6,15.45,0,1009.24,150
338.45,5.55,74.85,15.3,0,1004.97,114.53
339.47,26.9,53.5,15.22,0,1003.14,230.63
340.47,4.63,75.77,15.41,0,1008.64,34.62
341.52,11.5,68.9,15.34,0,1008.03,297.68
342.65,13.48,66.92,15.26,0,1000.91,219.99
343.7,7,73.4,15.26,0,1000.3,87.9
344.77,9.9,70.5,15.15,0,1020.41,120.94
345.8,0.9,79.5,14.65,0,948.09,514.29
346.75,8.42,51.98,6.91,207.23,1045.8,361.31
347.85,9.11,51.29,6.91,218.25,1045.39,496.77
349.94,4.38,56.02,6.91,263.84,1048.26,518.39
350.95,4.46,55.94,6.87,264.94,1048.25,604.82
353.08,10.56,49.84,6.87,109.68,1044.77,863.99
354.19,6.29,54.11,6.87,271.58,1043.14,794.88
355.22,24.97,35.43,6.87,92.26,1042.73,719.99
356.23,26.42,33.98,6.87,89.18,1044.77,499.18
357.31,10.33,50.07,6.84,97.19,1045.59,530.2
358.41,1.1,59.3,6.8,87.95,1043.34,124.19
359.54,16.89,43.51,6.8,71.04,1043.55,451.2
360.74,28.56,31.85,6.84,74.19,1046.61,431.98
363.9,3.62,56.78,6.8,98.08,1042.11,133.82
364.93,23.45,36.95,6.84,80.28,1045.58,374.41
365.98,27.38,57.62,4.66,41.31,737.26,75.84
366.99,26.77,58.23,4.7,70.26,739.1,50.61
368,3.13,81.87,4.74,49.12,845.36,106.36
369.04,12.67,72.33,4.74,46.87,852.73,97.97
370.05,4.96,80.04,4.78,72.99,860.52,34.62
371.08,20.29,64.71,4.74,93.46,858.27,127.55
372.12,20.6,64.4,4.74,88,860.11,128.38
373.13,27.31,57.69,4.74,84.25,862.77,98.48
374.14,18.99,66.01,4.78,81.56,860.92,82.81
375.2,13.89,71.11,4.78,73.9,861.34,111.83
381,6.34,78.66,4.74,79.27,864.4,100
383.26,7.32,75.23,4.7,114.54,852.3,42.94
384.3,13.27,69.28,4.66,84.64,853.73,77.91
385.36,12.96,69.59,4.7,111.16,855.16,112.24
386.4,16.7,65.85,4.7,102.8,851.48,133.56
387.41,17.23,65.32,4.7,88.36,851.27,165.57
388.43,2.52,80.04,4.7,122.9,852.3,169.22
389.47,13.73,68.83,4.74,111.95,848.82,249.3
390.49,18.38,64.18,4.7,109.6,853.93,140.9
391.53,18.15,64.4,4.7,115.34,848,186.98
392.54,13.57,68.98,4.7,100.11,851.07,169.23
393.56,7.47,75.08,4.7,89.28,852.91,126.32
394.62,15.02,67.53,4.74,72.96,852.91,95.4
395.64,6.48,76.07,4.7,78.88,853.32,96.41
396.66,16.7,65.85,4.7,72.74,852.91,95.89
397.7,8.39,74.16,4.74,75.52,853.54,124.66
398.71,13.73,68.83,4.74,77.11,884.3,101.75
399.77,9,73.55,4.74,80.98,849.43,93.07
400.81,5.72,76.83,4.74,99.2,839.58,65.61
401.83,8.77,73.78,4.74,90.47,839.79,91.58
402.87,4.27,78.28,4.74,93.64,837.13,93.49
403.91,4.8,77.75,4.74,89.98,837.94,143.82
404.97,3.13,79.43,4.7,91.02,841.42,190.78
406.01,10.98,71.57,4.74,73.78,844.5,149.58
407.02,15.55,67,4.7,94.41,854.96,77.91
408.04,13.5,69.06,4.7,76.04,857.21,126.32
409.06,15.48,67.07,4.7,79.64,856.6,143.82
410.08,10.75,71.8,4.74,78.75,859.26,106
411.12,16.17,66.39,4.74,81.93,866.24,128.95
412.14,2.75,79.81,4.7,52,908.94,90.96
413.18,11.82,70.73,4.66,70.52,939.07,12.75
414.2,13.65,68.9,4.7,82.99,938.05,66.76
415.24,16.7,65.85,4.7,80.83,904.74,81.39
416.26,4.04,55.64,4.55,77.08,889.78,88.74
417.3,12.75,46.93,4.51,76.4,886.92,129.1
418.34,13.27,46.41,4.55,78.14,892.64,155.52
419.4,17.68,42,4.51,73.17,888.97,131.58
420.44,10.12,49.56,4.51,82.96,888.15,149.76
421.48,10.54,49.14,4.55,78.78,892.45,170.18
422.52,10.75,48.93,4.55,76.74,894.29,55.87
423.54,4.72,54.96,4.59,81.99,894.49,65.79
424.6,2.2,57.48,4.55,81.93,893.07,146.76
425.62,6.3,53.39,4.55,80.86,894.29,141.23
426.64,4.3,55.38,4.55,82.51,894.09,136
427.66,5.25,54.43,4.59,83.79,891.43,70.61
428.68,5.14,54.54,4.55,80.43,891.02,136.01
429.7,5.35,54.33,4.59,86.05,893.27,68
430.72,3.88,55.8,4.59,84.92,897.78,44.77
431.74,11.59,48.09,4.59,79.36,891.64,156
432.78,9.34,50.34,4.59,83.45,894.3,267.42
433.8,16.89,42.79,4.59,80.25,891.84,141.14
434.82,9.02,50.66,4.62,84.98,894.3,122.4
435.86,14.06,45.62,4.62,84.89,895.94,176.72
436.88,14.32,45.36,4.62,84.4,897.99,108
437.9,10.86,48.82,4.62,85.44,899.01,114.75
438.92,2.68,57.01,4.62,93.64,894.71,174.86
439.96,10.81,48.87,4.62,90.99,892.25,178.29
441,9.5,50.19,4.62,88.18,891.23,178.14
442.02,8.76,50.92,4.62,83.57,885.91,126.55
443.06,13.59,46.09,4.62,86.23,887.75,176.72
444.08,6.71,52.97,4.62,86.02,882.63,159.65
445.15,7.14,52.26,4.55,73.2,894.69,118.16
446.17,4.42,54.98,4.59,76.25,896.12,159.25
447.22,2.44,56.96,4.59,77.96,893.46,105.54
448.28,6.61,52.79,4.59,74.88,891.62,152.03
449.29,2.4,57,4.59,65.21,894.48,166.49
